Book,Chapter,Verse,Text
Romans,4,14,事實上，若本著那些律法才是那些承繼產業的眾位，那信就已被停效，那應許也就已被廢掉。
Romans,4,15,因為律法一直激動憤怒；不過，那裡沒有律法，那裡也沒有違背律法的事。
Romans,4,16,為此，本著信，為了按照   神的恩典，好使那應許可以對所有後裔成為堅穩牢固的（原文較清楚的譯法）；不單歸給那本著律法的；但也臨到那本著亞伯拉罕之信的人。他現正是我們每一位的父。
Romans,4,17,正如已被所寫下的：『我已經立了你作許多邦國的父。（創17:5）』
Romans,4,17,在他所相信過的   神面前，就是要叫那些死人們活起來得生命，又能呼喚那些無有的變為如同已有的那一位。
Romans,4,18,他在絕了盼望時，卻仍然基於（文理較豐富的意思，「信心以神的應許為基礎」）盼望相信了，以致他能成了萬國之父，正如那被預許了的：『你那後裔將必會如此眾多。（創15:5）』
Romans,4,19,而且，當他存在將近百歲的時候，他雖然思量過（有古抄本作「不顧念」）自己的身體已如同死去一般，撒拉的子宮亦已經死亡，他的信心並沒有軟弱過；
Romans,4,20,然而，對於   神的應許，他沒有因不信而自己起了疑惑；相反地，卻因信蒙變得剛強，又已把榮耀歸給　神，
Romans,4,21,且已蒙完全相信   神正是有能力的使那應許確實地實行出來。
Romans,4,22,因此，他已被算為達致義（v.17b-22顯示亞伯拉罕的那種信心）。
Romans,4,23,如今，「他已被算為義」這句話，不單只因為他而已被寫下的；
Romans,4,24,但也為我們這些正即將要被算為義的人寫的，就是這些持續相信   神使我們的主耶穌從眾死人中已復活了的人。
Romans,4,25,他被交出來，是因我們的過犯，他被復活了，也是為了我們的稱義。
Romans,5,1,所以，我們既本著信已被稱為義了，就藉著我們的主耶穌基督，我們持續與    神有關係上的平安。
Romans,5,2,藉著祂，我們因信（有古抄本無「因信」這字）也持續有這途徑進入我們已站在的這恩典中，並且我們持續喜樂誇勝，以   神那榮耀之盼望為榮。
Romans,5,3,不但如此，即使在那些患難中，我們也能持續喜樂誇勝，因為按我們的認識，患難總是能磨練出堅忍，
Romans,5,4,而堅忍能生出老練，且老練能生出盼望。
Romans,5,5,再者，盼望不致落空持續使人蒙羞，因為   神的愛，藉著所賜給我們的聖靈，已經被傾注在我們心裡。
Romans,5,6,因為當我們仍在軟弱無力的狀況下，基督就照特定的時刻為不虔敬的人死了。
Romans,5,7,因為某人自己將會為一個義人死，簡直是沒有的。誠然！為某個恩善的人死，或許竟然仍有人敢作的。
Romans,5,8,但   神不斷證明祂自己（原文反身代名詞）對我們這份愛，因為當我們正仍然是罪人的時候，基督就代替我們死了。
Romans,5,9,所以，我們現在既然已因祂的血被稱義了，我們將來必然更會藉著祂蒙拯救，脫離    神的憤怒。
Romans,5,10,因為若仍然是與    神為敵時，我們尚且藉著祂兒子的死得以與   神和好；既和好了，我們將來必然更會因祂的生命蒙拯救！
Romans,5,11,不但如此，現在既藉著我們的主耶穌基督得以與   神領受了復和，還要藉著祂，我們持續以   神喜樂誇勝。
Romans,5,12,故此，正如罪藉著一個人進入了世界，死又藉著罪進入了世界，於是死也就到達了所有人，由於所有人都犯了罪（複句開端句，接v.18）——
Romans,5,13,其實，直到有律法之前，罪曾習慣在世間；不過，律法慣常不存在之時，罪一直不被算為罪。
Romans,5,14,然而，從亞當直到摩西，死就作了王，甚至連那些不像亞當那樣違法犯了罪的人，也在死的權下；這亞當原是那將要來之人的預像（名詞在此是用於神藉著人或物「所提供預表」的意思）。
Romans,5,15,但是，這恩典的賜予也決不像那過犯所能相比的，因為若因著那一位的過犯，全人類（指亞當以外的所有人）就都死了。那麼，  神的恩典，與那藉耶穌基督這一個人的恩典而來的賞賜，豈不越發加給那許多已蒙恩的人（指質的超越）嗎？
Romans,5,16,再者，那藉著一個人已犯了罪的後果，也大大不如這賞賜，因為審判是由一次過犯，進入定罪，但這恩賜卻由許多過犯而來，就進到義。
Romans,5,17,事實上，若因那一人那一次的過犯，死就藉著那一人掌了王權；那麼，那些持續領受恩典之豐富及義之賞賜的人，他們將來就更大地藉著這一位耶穌基督在生命中掌王權了。
Romans,5,18,（複句歸子句，接v.12）這樣看來，正如藉著一次的過犯，使所有人進入定罪；照樣，藉著一個人的義行，及於所有人，達致稱義得生命。
Romans,5,19,因為，正如藉著那一人的不順服，許多人都被定為罪人了；照樣，藉著這一人的順服，許多人將來也必會被稱為義。
Romans,5,20,而且，律法後來從旁加入了，為要讓過犯增多了；然而罪在那裡增多了，恩典就更顯豐盛了。
Romans,5,21,以致正如罪在死域中掌了王權；照樣，讓恩典也藉著義得掌王權，藉著我們的主耶穌基督進入永生。
Romans,6,1,那麼，我們將該怎麼說呢？難道我們持續容讓自己留在罪中，好讓這恩典能越發豐滿起來嗎（間接處理3:8提出的問題）？
Romans,6,2,當然不可（祈願語氣，不宜太硬的譯法）！我們正是這些向罪死了的人，我們將來怎麼能仍要活在它裡面呢？
Romans,6,3,難道你們一直不知道，我們眾舉凡受過洗歸入基督耶穌的人（有「將受洗者移交基督之意」），我們就是受過洗歸入祂的死嗎？
Romans,6,4,所以，藉著洗禮歸入死亡，我們和祂一同埋葬了，為要讓我們也在生命的新樣式（#呼應7:6）中能行起來，正如基督藉著父的榮耀從眾死人中被復活了一樣。
Romans,6,5,因為若我們已經得以與祂死的樣式聯合，我們將來也必會（兩個連接詞加強語氣）在祂復活的樣式上與祂聯合。
Romans,6,6,因為我們正要知道（祈願語氣引進論據）這事，我們這舊人已經與祂同被釘十字架了，為了容讓罪身被喪失功能，這樣我們就不再去成為罪的奴僕。
Romans,6,7,因為那個已死了的人已經被稱義，脫離了那罪的權勢。
Romans,6,8,如今（連接詞引進新階段），我們若與基督一同死了，我們就持續相信我們也將必會與祂一同活著，
Romans,6,9,因為我們慣常知道基督既從眾死人中被復活了，就不再死，死再不能持續作主人轄制祂了——
Romans,6,10,祂死了，是向罪死了，僅此一次；但祂一直活，是向   神持續活。
Romans,6,11,那麼，你們也應當這樣，向罪要持續算自己是死的，但在基督耶穌裡，向   神卻要一直算自己為正在活著的。
Romans,6,12,所以，不要持續容讓罪在你們必死的肉身中掌王權，以致去聽從它的私慾。
Romans,6,13,也不要持續將你們身體的任何部份獻給罪（現在時態命令語氣），作不義的兵器；反而要因你們自己實在是從眾死人中正在活著的人，且要開始將你們那些肢體作義的工具獻給  神。
Romans,6,14,因為罪將必不能作主人轄制你們，因為你們不是正在律法之下；反而，你們卻在恩典之下。
Romans,6,15,這樣，怎麼說呢？難道讓我們因為不常在律法之下；反而常在恩典之下，就犯罪嗎？絕對不可！
Romans,6,16,難道你們一直不知道（指他們已知道）？！你們慣常獻上自己作奴僕達至順服，你們持續服從誰，你們就正是他的奴僕，要不是當作罪奴陷入死亡，就是作順僕進入義嗎？
Romans,6,17,然而感謝    神！因為你們從前雖然曾習慣是（過去不完美時態）罪的奴僕，但如今你們卻從心裡順服了並被交付了給那教導的規範，作基督徒生活的教訓，
Romans,6,18,你們既然已從罪的權勢被釋放了，就得蒙作了義的奴僕。
Romans,6,19,因著你們肉身軟弱的限制，我就慣常照人的常話對你們說：因為你們從前怎樣將你們的眾肢體交付過給不潔和不法作眾奴僕，陷入不法；現在也照樣將你們的眾肢體獻給過義作眾奴僕，為了達致成聖。
Romans,6,20,因為當你們曾習慣為罪的眾奴僕的時候，你們曾習慣是自由自主不受義的管束。
Romans,6,21,所以，在那些現今你們持續感到羞恥的事上，你們當時習慣地得著甚麼果子呢？因為那些事的結局就是死。
Romans,6,22,但如今既得自由，脫離了罪，而得以成為    神的奴僕，你們就繼續有果子進入聖化，而且結局就是永生。
Romans,6,23,因為罪那些酬勞（文理較準確的意思）乃是死；然而   神的恩賜，藉著我們的主基督耶穌，卻是永生。
Romans,7,1,弟兄們啊（呼格名詞）！因為我正在對懂得律法的人（分詞作人稱名詞用）說，難道你們一直不知道，律法持續管轄人，只在他活著時嗎？
Romans,7,2,因為已婚的女人在她丈夫仍活著時，她已被律法約束已；但若丈夫死了，她就已從丈夫之律法中被解放。
Romans,7,3,如此說來，當丈夫還活著時，若她歸屬了另一個男人，她將被稱為淫婦；但若丈夫死了，她正是從律法得著自由；她雖歸屬了另一個男人，也不算為淫婦了。
Romans,7,4,這樣，我的弟兄們啊！你們藉著基督的身體，對律法來說也是被處死了，使你們歸屬於另一位，就是屬於那位從眾死人中被復活的主，為要讓我們能結出果子給   神。
Romans,7,5,因為我們從前在肉體裡的時候，那些眾罪惡的情慾向來藉著律法，在我們那些眾肢體內活動起來，以致去給死亡結出果子來。
Romans,7,6,但我們既然向那捆我們的律法上死了，現今（指時間上）我們就從律法被   神釋放了，好讓我們服事主，是按著聖靈的新樣式（#呼應6:4），而不是照著條文的舊樣子。
Romans,7,7,那麼，我們將該要怎麼說呢？難道律法是罪嗎？絕對不是！不過，若非藉著律法，我就不懂得何謂罪。因為若非律法說『不該起貪念（出20:17，申5:21）』，我就不知道了何謂貪心。
Romans,7,8,但是罪已把握了（#非「趁著/尋找」同下v.11）機會，就藉著誡命在我心裡激發了每一樣的貪慾，因為在律法以外，罪是死的。
Romans,7,9,而我曾經在法律以外活著；但當誡命已來到的時候，罪就活起來。
Romans,7,10,然後，我就死了，那已被發現原本也是為要帶來生命之誡命，卻帶給我死亡；
Romans,7,11,因為罪已把握好（#上同v.8）機會，藉著誡命欺騙了我，並藉著誡命殺了我。
Romans,7,12,所以，律法本身是聖潔的，誡命也是聖潔的、又是公義的和良善的。
Romans,7,13,這樣，是那良善的導致了我死亡嗎？絕對不是！反而是罪。罪藉著那良善的為我產生了死亡，為要讓其被顯明為罪，也使罪藉著誡命讓其罪顯出到極致。
Romans,7,14,因為我們慣常知道律法正是屬乎靈的，但我卻正是屬乎肉體的，已被賣在罪之下。
Romans,7,15,因為我慣常作的我一直不知道；因為那個我常立志的，我偏偏一直不去作；這個我所常恨惡的，我反而總是去作。
Romans,7,16,但若我一直作的並非出於我慣常立志的（不僅是「願意」），我就總是同意律法，因而常見證律法是善的。
Romans,7,17,既然事實如此，那事不再是我慣常作的；反而是那總住在我裡面的罪作的。
Romans,7,18,因為我慣常知道善沒有持續住在我肉體裡面。因為那立志為善正存於我；但卻沒有成就那善。
Romans,7,19,因為我慣常立志的善，我一直不作；我慣常沒有立志的惡，我反而總是去作。
Romans,7,20,但若我一直作的並非出於我慣常立志的，那事就不再是我慣常作的；反而是那住在我裡面的罪作的。
Romans,7,21,因此，我慣常發現這個定律，就是這個立志行善的我，總有惡與我同在。
Romans,7,22,因為按著我裡面的人來說，我是一直喜歡   神的律法；
Romans,7,23,但我慣常看出我肢體中另有一個律和我理智的律交戰，而且總是把我擄去，去附從那正在我肢體中的罪之律。
Romans,7,24,我這個人！悲慘痛苦的呀！誰將會能救我脫離這註定要死亡的身體（有較強理由支持的意思）呢？
Romans,7,25,但感謝    神！藉著我們的主耶穌基督！我的情況就是這樣：我自己這個人一方面持續以理智服事   神的律法；但另一方面肉體卻總是服事罪的律了。
Romans,8,1,所以，現在、對那些在基督耶穌裡的，沒有一人被定罪。
Romans,8,2,因為生命之靈的律，在基督耶穌裡使你自由了，脫離罪和死的律。
Romans,8,3,因為藉著（不是「因」）肉體而軟弱，按律法來說，是不可能的事，   神就已差遣了自己的兒子，在有罪的肉體之樣子中，且當作贖罪祭，在肉體中對罪作了判決（利7:37），
Romans,8,4,好讓律法上所要求的義，可以得以成就在我們這些不隨從肉體；反而卻只順著聖靈而行的人裡面。
Romans,8,5,因為那些正是屬乎肉體的，他們慣常思念肉體的事；然而，那些屬乎靈的人，他們卻不住思念聖靈的事。
Romans,8,6,因肉體的思維方式（#1原文同字）是死；但聖靈的思維方式（#2同字）卻是生命與平安。
Romans,8,7,事實上，肉體之意念（#3同字）是與   神為敵；既因不常順服於   神的律法，他也總是不能；
Romans,8,8,那麼，那些已是在肉體裡的，他們總不能取得   神的喜悅。
Romans,8,9,但你們呢、若   神的靈果真持續住在你們裡面，你們就不是在肉體裡；反而卻在聖靈裡。然而，誰若沒有基督的靈，他這個人就不是屬於基督。
Romans,8,10,但基督若在你們裡面，身體雖因罪而死（讓步子句），但聖靈卻因著義賦予生命。
Romans,8,11,再者，那已使耶穌從眾死人中復活者的靈若持續住在你們裡面，那已使基督從眾死人中復活了的  神，也要藉著祂那同一位聖靈，使你們那必死的身體將會活過來。
Romans,8,12,弟兄們啊！這樣看來，我們總不是肉體的欠債者，順著肉體而活。
Romans,8,13,因為若你們慣常順著肉體而活，你們正必定要死；但若你們持續順著聖靈治死身體那些惡行，你們就將必會存活。
Romans,8,14,因為眾舉凡蒙   神之靈持續帶領的人，這些人都正是   神的兒子們。
Romans,8,15,因為你們所領受了的，不是奴役的靈，再進入懼怕；相反，你們所領受了的，乃是兒子名份的靈，在其中，我們慣常呼叫：「阿爸！父啊！」
Romans,8,16,聖靈自己（強調）與我們的靈持續一同證實我們現正是   神的兒女；
Romans,8,17,既是兒女，便是承繼者，不單是   神的承繼者，也和基督一起作承繼者。我們若真的和他一起持續受苦，為要使我們也和他一起得榮耀。
Romans,8,18,事實上，我一直認為現今這時期的苦楚，不配跟（將來定必向我們展現的榮耀相比較。
Romans,8,19,因為受造物的殷切期盼，持續熱切等候   神兒子們的顯現。
Romans,8,20,因為受造物已被屈服於虛空，不是自願的；反而是由於已臣服了在指望中的那一位；
Romans,8,21,因為受造物本身也指望將來得著釋放，脫離敗壞的奴役，進入   神兒女們榮耀之自由（不是「自由的榮耀」）。
Romans,8,22,事實上，我們慣常知道每一個受造物都一同持續呻吟，且不斷同受生產的陣痛，直到如今。
Romans,8,23,而且不但如此，甚至連我們自己這已擁有聖靈初熟果子的，我們也在自己內心中（原文較準確的意思）慣常呻吟，我們正熱切等候得到兒子的名分，就是我們那肉身的救贖。
Romans,8,24,因為我們蒙拯救了時就存著這盼望；然而已被看見的盼望，不持續是盼望，因為誰持續盼望他經常看見的呢？
Romans,8,25,但若我們慣常盼望我們一直看不見的，我們就要以堅忍持續熱切期待。
Romans,8,26,照樣，聖靈也在我們的軟弱（指禱告方面）上持續幫助我們。因為我們一直不曉得按照   神的旨意來禱告（原文較清楚易明的意譯），但聖靈自己用無法言喻的呻吟，為我們持續祈求。
Romans,8,27,而且那鑒察人心的，祂慣常知道聖靈的想法是甚麼，因為聖靈不斷照著   神的旨意替聖徒們祈求。
